id;pos_documento
1;[[['A', 'segurança', 'cibernética', 'tornou-se', 'um', 'dos', 'pilares', 'fundamentais', 'da', 'sociedade', 'contemporânea', ',', 'pois', 'vivemos', 'em', 'um', 'mundo', 'cada', 'vez', 'mais', 'conectado', ',', 'onde', 'informações', 'pessoais', ',', 'financeiras', 'e', 'corporativas', 'circulam', 'constantemente', 'em', 'redes', 'digitais', 'que', 'precisam', 'ser', 'protegidas', 'contra', 'ameaças', 'crescentes', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'NUM', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'SCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'ADV', 'ADJ', 'PUNCT', 'PRON', 'NOUN', 'ADJ', 'PUNCT', 'ADJ', 'CCONJ', 'ADJ', 'VERB', 'ADV', 'ADP', 'NOUN', 'ADJ', 'PRON', 'VERB', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['tornou-se', 'vivemos', 'circulam', 'precisam ser', 'protegidas'], ['o', 'segurança', 'cibernético', 'tornar se', 'um', 'de o', 'pilar', 'fundamental', 'de o', 'sociedade', 'contemporâneo', ',', 'pois', 'viver', 'em', 'um', 'mundo', 'cada', 'vez', 'mais', 'conectado', ',', 'onde', 'informação', 'pessoal', ',', 'financeiro', 'e', 'corporativo', 'circular', 'constantemente', 'em', 'rede', 'digital', 'que', 'precisar', 'ser', 'protegir', 'contra', 'ameaça', 'crescente', '.']]]
2;[[['Com', 'a', 'expansão', 'da', 'internet', 'e', 'a', 'digitalização', 'de', 'serviços', ',', 'surgiram', 'novas', 'oportunidades', 'para', 'criminosos', 'explorarem', 'vulnerabilidades', ',', 'utilizando', 'técnicas', 'sofisticadas', 'como', 'phishing', ',', 'ransomware', 'e', 'engenharia', 'social', ',', 'que', 'podem', 'comprometer', 'dados', 'sensíveis', 'e', 'causar', 'prejuízos', 'irreparáveis', 'às', 'vítimas', '.'], ['ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'VERB', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT'], ['surgiram', 'explorarem', 'utilizando', 'sofisticadas', 'podem comprometer', 'causar'], ['com', 'o', 'expansão', 'de o', 'Internet', 'e', 'o', 'digitalização', 'de', 'serviço', ',', 'surgir', 'novo', 'oportunidade', 'para', 'criminoso', 'explorar', 'vulnerabilidade', ',', 'utilizar', 'técnica', 'sofisticar', 'como', 'phishing', ',', 'ransomware', 'e', 'engenharia', 'social', ',', 'que', 'poder', 'comprometer', 'dado', 'sensível', 'e', 'causar', 'prejuízo', 'irreparável', 'a o', 'vítima', '.']]]
3;[[['Empresas', 'de', 'todos', 'os', 'portes', 'enfrentam', 'desafios', 'constantes', 'para', 'proteger', 'suas', 'infraestruturas', 'digitais', ',', 'investindo', 'em', 'firewalls', ',', 'sistemas', 'de', 'criptografia', ',', 'monitoramento', 'em', 'tempo', 'real', 'e', 'programas', 'de', 'conscientização', 'para', 'funcionários', ',', 'que', 'muitas', 'vezes', 'são', 'o', 'elo', 'mais', 'fraco', 'da', 'cadeia', 'de', 'segurança', '.'], ['NOUN', 'ADP', 'DET', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADV', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['enfrentam', 'proteger', 'investindo'], ['empresa', 'de', 'todo', 'o', 'porte', 'enfrentar', 'desafio', 'constante', 'para', 'proteger', 'seu', 'infraestrutura', 'digital', ',', 'investir', 'em', 'firewall', ',', 'sistema', 'de', 'criptografia', ',', 'monitoramento', 'em', 'tempo', 'real', 'e', 'programa', 'de', 'conscientização', 'para', 'funcionário', ',', 'que', 'muito', 'vez', 'ser', 'o', 'elo', 'mais', 'fraco', 'de o', 'cadeia', 'de', 'segurança', '.']]]
4;[[['A', 'conscientização', 'dos', 'usuários', 'é', 'tão', 'importante', 'quanto', 'a', 'tecnologia', 'empregada', ',', 'pois', 'um', 'simples', 'clique', 'em', 'um', 'link', 'suspeito', 'pode', 'abrir', 'portas', 'para', 'invasores', ',', 'comprometendo', 'não', 'apenas', 'dados', 'pessoais', ',', 'mas', 'também', 'informações', 'estratégicas', 'de', 'organizações', 'inteiras', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'ADV', 'ADJ', 'ADV', 'DET', 'NOUN', 'VERB', 'PUNCT', 'SCONJ', 'DET', 'ADJ', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'VERB', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'ADV', 'ADV', 'NOUN', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['importante', 'empregada', 'clique', 'pode abrir', 'comprometendo'], ['o', 'conscientização', 'de o', 'usuário', 'ser', 'tão', 'importante', 'quanto', 'o', 'tecnologia', 'empregado', ',', 'pois', 'um', 'simples', 'clique', 'em', 'um', 'link', 'suspeito', 'poder', 'abrir', 'porta', 'para', 'invasor', ',', 'comprometer', 'não', 'apenas', 'dado', 'pessoal', ',', 'mas', 'também', 'informação', 'estratégico', 'de', 'organização', 'inteiro', '.']]]
5;[[['A', 'educação', 'digital', 'deve', 'ser', 'vista', 'como', 'prioridade', ',', 'ensinando', 'práticas', 'seguras', 'como', 'a', 'criação', 'de', 'senhas', 'fortes', ',', 'uso', 'de', 'autenticação', 'em', 'dois', 'fatores', ',', 'atualização', 'constante', 'de', 'softwares', 'e', 'desconfiança', 'diante', 'de', 'mensagens', 'ou', 'ofertas', 'aparentemente', 'milagrosas', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'AUX', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADV', 'ADJ', 'PUNCT'], ['deve ser vista', 'ensinando'], ['o', 'educação', 'digital', 'dever', 'ser', 'ver', 'como', 'prioridade', ',', 'ensinar', 'prática', 'seguro', 'como', 'o', 'criação', 'de', 'senha', 'forte', ',', 'uso', 'de', 'autenticação', 'em', 'dois', 'fator', ',', 'atualização', 'constante', 'de', 'software', 'e', 'desconfiança', 'diante', 'de', 'mensagem', 'ou', 'oferta', 'aparentemente', 'milagroso', '.']]]
6;[[['Governos', 'desempenham', 'papel', 'essencial', 'na', 'proteção', 'de', 'dados', ',', 'criando', 'legislações', 'como', 'a', 'LGPD', 'no', 'Brasil', 'e', 'o', 'GDPR', 'na', 'União', 'Europeia', ',', 'que', 'estabelecem', 'regras', 'claras', 'para', 'o', 'tratamento', 'responsável', 'das', 'informações', 'pessoais', 'e', 'corporativas', '.'], ['NOUN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT'], ['desempenham', 'criando', 'estabelecem'], ['Governos', 'desempenhar', 'papel', 'essencial', 'em o', 'proteção', 'de', 'dado', ',', 'criar', 'legislação', 'como', 'o', 'LGPD', 'em o', 'Brasil', 'e', 'o', 'GDPR', 'em o', 'União', 'Europeia', ',', 'que', 'estabelecer', 'regra', 'claro', 'para', 'o', 'tratamento', 'responsável', 'de o', 'informação', 'pessoal', 'e', 'corporativo', '.']]]
7;[[['Essas', 'leis', 'obrigam', 'empresas', 'a', 'adotarem', 'medidas', 'de', 'segurança', 'robustas', ',', 'garantindo', 'transparência', 'no', 'uso', 'de', 'dados', 'e', 'responsabilizando', 'organizações', 'que', 'não', 'cumpram', 'requisitos', 'mínimos', 'de', 'proteção', ',', 'fortalecendo', 'a', 'confiança', 'dos', 'cidadãos', 'no', 'ambiente', 'digital', '.'], ['DET', 'NOUN', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'PRON', 'ADV', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['obrigam', 'adotarem', 'garantindo', 'responsabilizando', 'cumpram', 'fortalecendo'], ['esse', 'lei', 'obrigar', 'empresa', 'a', 'adotar', 'medida', 'de', 'segurança', 'robusta', ',', 'garantir', 'transparência', 'em o', 'uso', 'de', 'dado', 'e', 'responsabilizar', 'organização', 'que', 'não', 'cumprer', 'requisito', 'mínimo', 'de', 'proteção', ',', 'fortalecer', 'o', 'confiança', 'de o', 'cidadão', 'em o', 'ambiente', 'digital', '.']]]
8;[[['A', 'cibersegurança', 'nacional', 'também', 'é', 'uma', 'preocupação', 'crescente', ',', 'pois', 'ataques', 'direcionados', 'a', 'infraestruturas', 'críticas', ',', 'como', 'energia', ',', 'saúde', 'e', 'transporte', ',', 'podem', 'gerar', 'crises', 'de', 'grandes', 'proporções', ',', 'afetando', 'diretamente', 'a', 'vida', 'de', 'milhões', 'de', 'pessoas', '.'], ['DET', 'NOUN', 'ADJ', 'ADV', 'AUX', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'SCONJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'NUM', 'ADP', 'NOUN', 'PUNCT'], ['direcionados', 'podem gerar', 'afetando'], ['o', 'cibersegurança', 'nacional', 'também', 'ser', 'um', 'preocupação', 'crescente', ',', 'pois', 'ataque', 'direcionar', 'a', 'infraestrutura', 'crítico', ',', 'como', 'energia', ',', 'saúde', 'e', 'transporte', ',', 'poder', 'gerar', 'crise', 'de', 'grande', 'proporção', ',', 'afetar', 'diretamente', 'o', 'vida', 'de', 'milhão', 'de', 'pessoa', '.']]]
9;[[['Por', 'isso', ',', 'países', 'investem', 'em', 'centros', 'de', 'defesa', 'digital', ',', 'cooperação', 'internacional', 'e', 'programas', 'de', 'inteligência', 'capazes', 'de', 'detectar', 'e', 'neutralizar', 'ameaças', 'antes', 'que', 'elas', 'causem', 'danos', 'significativos', ',', 'fortalecendo', 'a', 'resiliência', 'das', 'nações', 'contra', 'ataques', 'cibernéticos', '.'], ['ADP', 'PRON', 'PUNCT', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADV', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['investem', 'detectar', 'neutralizar', 'causem', 'fortalecendo'], ['por', 'isso', ',', 'país', 'investir', 'em', 'centro', 'de', 'defesa', 'digital', ',', 'cooperação', 'internacional', 'e', 'programa', 'de', 'inteligência', 'capaz', 'de', 'detectar', 'e', 'neutralizar', 'ameaça', 'antes', 'que', 'ele', 'causar', 'dano', 'significativo', ',', 'fortalecer', 'o', 'resiliência', 'de o', 'nação', 'contra', 'ataque', 'cibernético', '.']]]
10;[[['No', 'âmbito', 'pessoal', ',', 'cada', 'indivíduo', 'deve', 'assumir', 'responsabilidade', 'pela', 'própria', 'segurança', 'digital', ',', 'adotando', 'práticas', 'simples', ',', 'mas', 'eficazes', ',', 'como', 'manter', 'backups', 'atualizados', ',', 'evitar', 'redes', 'Wi-Fi', 'públicas', 'sem', 'proteção', 'e', 'desconfiar', 'de', 'links', 'desconhecidos', '.'], ['ADP', 'NOUN', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'VERB', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'PUNCT', 'CCONJ', 'ADJ', 'PUNCT', 'SCONJ', 'VERB', 'NOUN', 'VERB', 'PUNCT', 'VERB', 'NOUN', 'PROPN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'VERB', 'PUNCT'], ['deve assumir', 'adotando', 'manter', 'atualizados', 'evitar', 'desconfiar', 'desconhecidos'], ['em o', 'âmbito', 'pessoal', ',', 'cada', 'indivíduo', 'dever', 'assumir', 'responsabilidade', 'por o', 'próprio', 'segurança', 'digital', ',', 'adotar', 'prática', 'simples', ',', 'mas', 'eficaz', ',', 'como', 'manter', 'backup', 'atualizar', ',', 'evitar', 'rede', 'Wi-Fi', 'público', 'sem', 'proteção', 'e', 'desconfiar', 'de', 'link', 'desconhecir', '.']]]
